,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,url,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,trending,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,docs_url,updated_github_id
0,thumbor,thumbor/thumbor,thumbor,"['python3', 'thumbor7']",core,https://github.com/thumbor/thumbor,https://github.com/thumbor/thumbor,MIT,2011-03-16 17:30:05,2025-03-21 17:23:59.000000,2025-03-21 17:23:51,2452.0,6.0,830.0,202.0,710.0,24.0,993.0,10220.0,2024-03-04 20:46:54.000,7.7.4,116.0,thumbor is an open-source photo thumbnail service by globo.com.,414.0,367.0,202.0,32,https://pypi.org/project/thumbor,2024-03-04 20:31:35.000,47.0,17001.0,17001.0,True,1,,,,,,,,,,,,,,,,,,,
1,gatsby-plugin-thumbor,vtex/faststore,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/vtex/faststore,https://github.com/vtex/faststore,MIT,2020-06-15 23:40:50,2025-03-28 20:50:20.000000,2025-03-28 12:43:20,4967.0,144.0,64.0,91.0,2367.0,60.0,327.0,196.0,2025-03-10 15:59:21.000,3.25.6,316.0,Digital commerce toolkit for frontend developers.,6.0,,106.0,26,,,,,1813.0,True,1,https://github.com/vtex/faststore/tree/master/packages/gatsby-plugin-thumbor,@vtex/gatsby-plugin-thumbor,https://www.npmjs.com/package/@vtex/gatsby-plugin-thumbor,2022-08-17 15:48:58.811,6.0,1813.0,,,,,,,,,,,,,
2,remotecv,thumbor/remotecv,remotecv,"['python3', 'thumbor7']",detectors,https://github.com/thumbor/remotecv,https://github.com/thumbor/remotecv,MIT,2012-01-04 12:09:00,2024-01-08 19:23:27.000000,2024-01-08 19:19:36,171.0,,34.0,30.0,64.0,3.0,21.0,98.0,2024-01-08 19:23:27.000,5.1.8,50.0,remotecv is an OpenCV server for facial and feature recognition.,47.0,44.0,24.0,22,https://pypi.org/project/remotecv,2024-01-08 19:23:27.000,3.0,11471.0,11471.0,False,1,,,,,,,,,,,,,,,,,,,
3,libthumbor,thumbor/libthumbor,libthumbor,"['python3', 'thumbor7']",core,https://github.com/thumbor/libthumbor,https://github.com/thumbor/libthumbor,MIT,2011-03-30 17:31:59,2023-05-13 12:32:19.000000,2022-04-02 20:55:30,140.0,,34.0,27.0,43.0,3.0,15.0,62.0,2022-03-31 13:34:23.000,2.0.2,21.0,Pythons extensions to thumbor. These are used to generate safe urls among others.,239.0,228.0,18.0,20,https://pypi.org/project/libthumbor,2022-03-31 13:32:59.000,11.0,31876.0,31876.0,False,3,,,,,,,,,,,,,,,,,,,
4,APSL Thumbor,APSL/docker-thumbor,,['docker'],hosting,https://github.com/APSL/docker-thumbor,https://github.com/APSL/docker-thumbor,MIT,2015-06-18 19:07:56,2022-05-17 10:44:43.000000,2017-04-18 07:37:47,163.0,,109.0,16.0,39.0,25.0,71.0,343.0,2017-03-27 14:32:19.000,6.3.0,10.0,"Docker image for thumbor. Detectors, optimizers, lazy detection and separate docker for remotecv.",,,15.0,19,,,,,86960.0,False,1,,,,,,,apsl/thumbor,https://hub.docker.com/r/apsl/thumbor,2019-12-17 16:40:20.048888,50.0,10174410.0,,,,,,,,
5,Minimal Compact Thumbor,MinimalCompact/thumbor,,['docker'],hosting,https://github.com/MinimalCompact/thumbor,https://github.com/MinimalCompact/thumbor,MIT,2018-07-01 19:40:19,2025-02-24 21:52:35.000000,2024-10-02 10:14:32,163.0,,89.0,13.0,87.0,1.0,81.0,317.0,,,,The quickest way to run thumbor.,,,28.0,19,,,,,93693.0,True,1,,,,,,,minimalcompact/thumbor,https://hub.docker.com/r/minimalcompact/thumbor,2023-04-26 14:23:16.465233,27.0,7495440.0,,,,,,,,
6,tc_aws.storage,thumbor-community/aws,tc_aws,[],storage-and-result-storage,https://github.com/thumbor-community/aws,https://github.com/thumbor-community/aws,MIT,2015-06-15 13:44:10,2023-07-24 09:16:22.000000,2022-12-07 16:24:38,254.0,,72.0,12.0,65.0,5.0,90.0,156.0,2022-12-07 16:30:02.797,7.0.2,45.0,Thumbor AWS extensions.,2.0,,37.0,18,https://pypi.org/project/tc_aws,2022-12-07 16:30:02.797,2.0,2140.0,2140.0,False,1,,,,,,,,,,,,14.0,,,,,,,
7,tc_aws.loaders,thumbor-community/aws,tc_aws,[],loaders,https://github.com/thumbor-community/aws,https://github.com/thumbor-community/aws,MIT,2015-06-15 13:44:10,2023-07-24 09:16:22.000000,2022-12-07 16:24:38,254.0,,72.0,12.0,65.0,5.0,90.0,156.0,2022-12-07 16:30:02.797,7.0.2,45.0,Thumbor AWS extensions.,2.0,,37.0,18,https://pypi.org/project/tc_aws,2022-12-07 16:30:02.797,2.0,2140.0,2140.0,False,1,,,,,,,,,,,,14.0,,,,,,,
8,thumbor-plugins-gifv,thumbor/thumbor-plugins,thumbor-plugins-gifv,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2024-10-30 02:09:42.000000,2024-09-02 19:47:19,158.0,,20.0,22.0,98.0,2.0,13.0,34.0,2024-01-08 18:58:58.000,0.1.5,33.0,Optimizers and filters contributed by the Thumbor community.,25.0,24.0,15.0,18,https://pypi.org/project/thumbor-plugins-gifv,2024-01-08 18:58:58.000,1.0,13075.0,13075.0,True,1,,,,,,,,,,,,,,,,,,,
9,thumbor-aws S3 Storages and S3 Result Storage,thumbor/thumbor-aws,thumbor-aws,"['python3', 'thumbor7']",storage-and-result-storage,https://github.com/thumbor/thumbor-aws,https://github.com/thumbor/thumbor-aws,MIT,2021-11-21 02:37:07,2025-02-28 04:55:42.000000,2025-02-28 04:55:41,231.0,4.0,18.0,6.0,265.0,2.0,30.0,25.0,2024-09-02 21:11:46.000,0.8.1,11.0,thumbor-aws is a set of modern thumbor (7.0.0) AWS Extensions (Storages and Result Storages).,,,9.0,16,https://pypi.org/project/thumbor-aws,2024-03-14 20:52:04.000,,2595.0,2595.0,True,2,,,,,,,,,,,,,,,,,,,
10,thumbor-aws S3 loader,thumbor/thumbor-aws,thumbor-aws,"['python3', 'thumbor7']",loaders,https://github.com/thumbor/thumbor-aws,https://github.com/thumbor/thumbor-aws,MIT,2021-11-21 02:37:07,2025-02-28 04:55:42.000000,2025-02-28 04:55:41,231.0,4.0,18.0,6.0,265.0,2.0,30.0,25.0,2024-09-02 21:11:46.000,0.8.1,11.0,thumbor-aws is a set of modern thumbor (7.0.0) AWS Extensions (Storages and Result Storages).,,,9.0,16,https://pypi.org/project/thumbor-aws,2024-03-14 20:52:04.000,,2595.0,2595.0,True,2,,,,,,,,,,,,,,,,,,,
11,ruby-thumbor,thumbor/ruby-thumbor,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/thumbor/ruby-thumbor,https://github.com/thumbor/ruby-thumbor,MIT,2011-04-03 02:30:00,2022-01-30 12:51:04.000000,2022-01-30 12:49:18,175.0,,13.0,25.0,20.0,,5.0,46.0,2022-01-28 02:08:19.000,4.0.0,2.0,ruby-thumbor is the client library to thumbor.,154.0,154.0,17.0,15,,,,,,False,1,,,,,,,,,,,,,,,,,,,
12,thumbor-plugins-mozjpeg,thumbor/thumbor-plugins,thumbor-plugins-mozjpeg,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2024-10-30 02:09:42.000000,2024-09-02 19:47:19,158.0,,20.0,22.0,98.0,2.0,13.0,34.0,2024-01-08 18:58:36.000,thumbor-plugins-gifv-v0.1.5,33.0,Optimizers and filters contributed by the Thumbor community.,24.0,24.0,15.0,15,https://pypi.org/project/thumbor-plugins-mozjpeg,2023-11-07 23:04:42.000,,163.0,163.0,True,2,,,,,,,,,,,,,1.0,,,,,,
13,thumbor-plugins-pngcrush,thumbor/thumbor-plugins,thumbor-plugins-pngcrush,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2024-10-30 02:09:42.000000,2024-09-02 19:47:19,158.0,,20.0,22.0,98.0,2.0,13.0,34.0,2024-01-08 18:58:36.000,thumbor-plugins-gifv-v0.1.5,33.0,Optimizers and filters contributed by the Thumbor community.,24.0,24.0,15.0,15,https://pypi.org/project/thumbor-plugins-pngcrush,2023-11-07 14:30:53.000,,227.0,227.0,True,2,,,,,,,,,,,,,,,,,,,
14,thumbor-plugins-optipng,thumbor/thumbor-plugins,thumbor-plugins-optipng,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2024-10-30 02:09:42.000000,2024-09-02 19:47:19,158.0,,20.0,22.0,98.0,2.0,13.0,34.0,2024-01-08 18:58:36.000,thumbor-plugins-gifv-v0.1.5,33.0,Optimizers and filters contributed by the Thumbor community.,24.0,24.0,15.0,15,https://pypi.org/project/thumbor-plugins-optipng,2023-11-04 21:11:05.000,,256.0,256.0,True,2,,,,,,,,,,,,,,,,,,,
15,thumbor-plugins-pngquant,thumbor/thumbor-plugins,thumbor-plugins-pngquant,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2024-10-30 02:09:42.000000,2024-09-02 19:47:19,158.0,,20.0,22.0,98.0,2.0,13.0,34.0,2024-01-08 18:58:36.000,thumbor-plugins-gifv-v0.1.5,33.0,Optimizers and filters contributed by the Thumbor community.,24.0,24.0,15.0,15,https://pypi.org/project/thumbor-plugins-pngquant,2023-11-07 22:56:14.000,,237.0,237.0,True,2,,,,,,,,,,,,,,,,,,,
16,ThumborUrlBuilder,policymic/thumbor#readme,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/policymic/thumbor#readme,https://github.com/policymic/thumbor#readme,MIT,2014-03-03 19:22:12,2020-12-11 07:29:00.000000,,,,22.0,,,5.0,,21.0,2017-09-07 07:05:18.804,0.1.5,6.0,Client Thumbor for Node JS.,20.0,,5.0,15,,,,,7532.0,False,1,,thumbor,https://www.npmjs.com/package/thumbor,2017-09-07 07:05:18.804,20.0,7532.0,,,,,,,,,,,,,
17,pollexor,square/pollexor,,"['java', 'thumbor7']",java-url-and-framework,https://github.com/square/pollexor,https://github.com/square/pollexor,Apache-2.0,2012-07-17 18:06:03,2024-08-07 18:26:54.000000,2024-08-07 18:26:52,173.0,,86.0,20.0,46.0,2.0,10.0,641.0,2022-01-18 21:18:26.000,3.0.0,11.0,Java client for the Thumbor image service which allows you to build URIs in an expressive fashion using a fluent API.,7.0,,16.0,14,,,,,,True,1,,,,,,,,,,,,,,com.squareup:pollexor,https://search.maven.org/artifact/com.squareup/pollexor,2022-01-18 21:18:26,7.0,,
18,django-thumbor,ricobl/django-thumbor,django-thumbor,"['python3', 'thumbor7', 'django']",python-url-and-framework,https://github.com/ricobl/django-thumbor,https://github.com/ricobl/django-thumbor,MIT,2012-12-16 20:27:56,2024-10-08 21:21:57.000000,2024-08-04 08:24:50,131.0,,20.0,2.0,35.0,1.0,11.0,90.0,2024-04-28 21:21:24.000,0.6.0,13.0,A django app with templatetags for resizing images with thumbor.,27.0,27.0,8.0,14,https://pypi.org/project/django-thumbor,2024-04-28 21:21:24.000,,4852.0,4852.0,True,1,,,,,,,,,,,,,,,,,,https://django-thumbor.readthedocs.io/en/latest/,
19,Thumbor S3 Docker,beeyev/thumbor-s3-docker,,"['docker', 'thumbor7', 'python3']",hosting,https://github.com/beeyev/thumbor-s3-docker,https://github.com/beeyev/thumbor-s3-docker,MIT,2022-04-28 19:57:19,2025-03-02 02:44:18.905271,2024-10-01 09:56:44,58.0,,11.0,4.0,28.0,2.0,8.0,55.0,2024-10-01 10:11:25.000,7.7-2,12.0,"A docker image for thumbor with AWS S3 / Minio integration for cropping, resizing, applying filters and optimizing..",,,4.0,14,,,,,2179.0,True,2,,,,,,,beeyev/thumbor-s3,https://hub.docker.com/r/beeyev/thumbor-s3,2025-03-02 02:44:18.905271,1.0,76299.0,,,,,,,,
20,thumbor-plugins-jpegrecompress,thumbor/thumbor-plugins,thumbor-plugins-jpegrecompress,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2024-10-30 02:09:42.000000,2024-09-02 19:47:19,158.0,,20.0,22.0,98.0,2.0,13.0,34.0,2024-01-08 18:58:36.000,thumbor-plugins-gifv-v0.1.5,33.0,Optimizers and filters contributed by the Thumbor community.,24.0,24.0,15.0,14,https://pypi.org/project/thumbor-plugins-jpegrecompress,2023-11-07 23:02:49.000,,136.0,136.0,True,3,,,,,,,,,,,,,,,,,,,
21,thumbor-plugins-jp2,thumbor/thumbor-plugins,thumbor-plugins-jp2,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2024-10-30 02:09:42.000000,2024-09-02 19:47:19,158.0,,20.0,22.0,98.0,2.0,13.0,34.0,2024-01-08 18:58:36.000,thumbor-plugins-gifv-v0.1.5,33.0,Optimizers and filters contributed by the Thumbor community.,24.0,24.0,15.0,14,https://pypi.org/project/thumbor-plugins-jp2,2023-11-07 14:38:11.000,,113.0,113.0,True,3,,,,,,,,,,,,,,,,,,,
22,opencv-engine,thumbor/opencv-engine,opencv-engine,[],engines,https://github.com/thumbor/opencv-engine,https://github.com/thumbor/opencv-engine,MIT,2014-03-12 19:07:03,2022-01-31 23:50:14.000000,2018-05-23 21:07:08,25.0,,26.0,26.0,16.0,14.0,11.0,26.0,2015-04-12 23:23:07.000,1.0.1,3.0,Thumbor engine for the openCV imaging library.,,,8.0,14,https://pypi.org/project/opencv-engine,2015-04-12 22:48:56.000,,805.0,805.0,False,1,,,,,,,,,,,,16.0,,,,,,,
23,thumbor-video-engine,theatlantic/thumbor-video-engine,thumbor-video-engine,"['python3', 'thumbor7']",engines,https://github.com/theatlantic/thumbor-video-engine,https://github.com/theatlantic/thumbor-video-engine,BSD-3-Clause,2019-12-24 21:34:29,2024-09-03 22:10:27.000000,2024-07-08 17:31:15,62.0,,11.0,16.0,13.0,6.0,10.0,35.0,2024-07-09 01:35:34.000,1.2.5,11.0,An engine and tools for manipulating videos with thumbor using ffmpeg.,4.0,4.0,4.0,13,https://pypi.org/project/thumbor-video-engine,2024-07-09 01:35:34.000,,922.0,922.0,True,3,,,,,,,,,,,,,,,,,,,
24,django-thumborstorage,Starou/django-thumborstorage,django-thumborstorage,"['python3', 'thumbor7', 'django']",python-url-and-framework,https://github.com/Starou/django-thumborstorage,https://github.com/Starou/django-thumborstorage,MIT,2013-11-07 08:39:00,2024-02-01 11:24:31.000000,2022-04-07 12:28:01,149.0,,5.0,2.0,21.0,2.0,11.0,17.0,2022-04-07 12:29:59.000,2.0.0,20.0,Django storage backend for Thumbor.,8.0,8.0,5.0,12,https://pypi.org/project/django-thumborstorage,2024-02-01 11:24:31.000,,482.0,482.0,False,2,,,,,,,,,,,,,,,,,,,
25,thumbor-ts,Brettm12345/thumbor-ts,,"['node', 'typescript', 'thumbor7']",js-url-and-framework,https://github.com/Brettm12345/thumbor-ts,https://github.com/Brettm12345/thumbor-ts,MIT,2019-10-28 14:36:41,2025-03-01 14:51:06.000000,2024-03-16 05:13:46,686.0,,2.0,1.0,608.0,2.0,1.0,16.0,2020-10-10 16:53:28.549,1.3.91,30.0,Immutable TypeScript client for building Thumbor URLs.,18.0,12.0,6.0,12,,,,,498.0,True,2,,thumbor-ts,https://www.npmjs.com/package/thumbor-ts,2020-10-10 16:53:28.549,6.0,498.0,,,,,,,,,,,,,
26,react-thumbor-img,ytase/react-thumbor-img,,"['node', 'thumbor7', 'react']",js-url-and-framework,https://github.com/ytase/react-thumbor-img,https://github.com/ytase/react-thumbor-img,MIT,2017-04-24 15:19:21,2023-01-04 21:39:59.000000,2021-05-25 05:57:57,46.0,,4.0,2.0,10.0,1.0,,7.0,2021-03-31 12:51:14.253,4.0.3,15.0,A React Component that generates images with valid Thumbor URLs for you.,10.0,7.0,6.0,12,,,,,336.0,False,2,,react-thumbor-img,https://www.npmjs.com/package/react-thumbor-img,2021-03-31 12:51:14.253,3.0,336.0,,,,,,,,,,,,,
27,tc_redis.storage,thumbor-community/redis,tc_redis,[],storage-and-result-storage,https://github.com/thumbor-community/redis,https://github.com/thumbor-community/redis,MIT,2015-08-11 14:17:21,2024-01-02 20:14:35.000000,2024-01-02 19:35:36,36.0,,16.0,4.0,11.0,2.0,4.0,13.0,2024-01-02 20:14:35.000,2.5.0,7.0,Redis support.,,,7.0,11,https://pypi.org/project/tc_redis,2024-01-02 20:14:35.000,,826.0,826.0,False,3,,,,,,,,,,,,,,,,,,,
28,thumbor_rekognition,yu-liang-kono/thumbor_rekognition,thumbor_rekognition,[],detectors,https://github.com/yu-liang-kono/thumbor_rekognition,https://github.com/yu-liang-kono/thumbor_rekognition,MIT,2017-05-06 14:12:11,2023-10-03 21:02:37.000000,2017-05-09 18:08:48,25.0,,5.0,3.0,10.0,2.0,,10.0,2017-05-09 18:11:04.000,0.1.1,2.0,Enable thumbor to use AWS rekognition to run face detection.,4.0,3.0,,11,https://pypi.org/project/thumbor_rekognition,2017-05-09 18:11:04.000,1.0,68.0,68.0,False,2,,,,,,,,,,,,,,,,,,,
29,tc-prometheus,thumbor-community/prometheus,tc-prometheus,[],metrics,https://github.com/thumbor-community/prometheus,https://github.com/thumbor-community/prometheus,MIT,2017-02-23 16:28:23,2024-10-24 18:05:18.000000,2024-10-24 17:55:33,45.0,,8.0,2.0,11.0,1.0,7.0,8.0,2024-10-24 18:05:18.000,3.0.0,5.0,Thumbor Prometheus metrics extension.,2.0,,4.0,11,https://pypi.org/project/tc-prometheus,2024-10-24 18:05:18.000,2.0,950.0,950.0,True,1,,,,,,,,,,,,,,,,,,,
